"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_zp_research_modname","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження","ZP: Дослідження",
"str_zp_petridishkit","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі","Польовий набір чашок Петрі",
"str_zp_petridishkit_desc","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.","Переносний набір для відбору та первинного аналізу біологічних зразків у польових умовах.",
"str_zp_microscope","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп","Лабораторний мікроскоп",
"str_zp_microscope_desc","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.","Стаціонарний мікроскоп для тривалого аналізу зразків. Завантажте зразки всередину та запустіть аналіз.",
"str_zp_labcomputer","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер","Науковий комп'ютер",
"str_zp_labcomputer_desc","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.","Стаціонарна робоча станція для обробки дослідницьких даних.",
"str_zp_chembench","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд","Хімічний стенд",
"str_zp_chembench_desc","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.","Лабораторний стіл із мийкою та посудом для хімічної переробки.",
"str_zp_serverrack","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка","Серверна стійка",
